S..No,item,itemLabel
263,http://www.wikidata.org/entity/Q123265526,Baradananda Chatterjee
264,http://www.wikidata.org/entity/Q123466411,Nipesh Palat Narayanan
265,http://www.wikidata.org/entity/Q123614909,Haran Chandra Chakladar
266,http://www.wikidata.org/entity/Q123699555,Karthikeyan Shanmugasundaram
267,http://www.wikidata.org/entity/Q123699663,K.SHANMUGA BHARATHI
268,http://www.wikidata.org/entity/Q123752788,Sunitha Abburu
269,http://www.wikidata.org/entity/Q123509547,Sayyid nizamuddin qasmi gayawi
270,http://www.wikidata.org/entity/Q124221902,Mahalingamoorthy Natarajan
271,http://www.wikidata.org/entity/Q5248630,Debu Chaudhuri
272,http://www.wikidata.org/entity/Q5316377,Durga Das Basu
273,http://www.wikidata.org/entity/Q5619876,Gurbachan Singh Talib
274,http://www.wikidata.org/entity/Q16334222,Prasanna Kumar Mishra
275,http://www.wikidata.org/entity/Q6084825,Ismail Poonawala
276,http://www.wikidata.org/entity/Q6354986,Kalyanmoy Deb
277,http://www.wikidata.org/entity/Q124749296,Kalika Ranjan Qanungo
278,http://www.wikidata.org/entity/Q91013157,Q91013157
279,http://www.wikidata.org/entity/Q13159253,K.Chinnappa gowda
280,http://www.wikidata.org/entity/Q15434805,Bimal Prasad
281,http://www.wikidata.org/entity/Q27916064,Gautam Mitra
282,http://www.wikidata.org/entity/Q93241428,Phiroze Vasunia
283,http://www.wikidata.org/entity/Q24053925,Virender Lal Chopra
284,http://www.wikidata.org/entity/Q72369221,Devendra Narain Singh
285,http://www.wikidata.org/entity/Q42308594,Brundaban Chandra Acharya
286,http://www.wikidata.org/entity/Q15707017,R. Ilavarasu
287,http://www.wikidata.org/entity/Q118676156,Q118676156
288,http://www.wikidata.org/entity/Q102077486,Sundaram Seshu
289,http://www.wikidata.org/entity/Q113717793,Satya Ranjan Banerjee
290,http://www.wikidata.org/entity/Q50811600,Ved Prakash Nanda
291,http://www.wikidata.org/entity/Q42248596,Varun Sahni
292,http://www.wikidata.org/entity/Q124685604,Arun Sen
293,http://www.wikidata.org/entity/Q55286438,Bireswar Sen
294,http://www.wikidata.org/entity/Q57866707,Alex Pappachen James
295,http://www.wikidata.org/entity/Q124254481,P. K. Bhattacharya
296,http://www.wikidata.org/entity/Q90765210,Ambuj Tewari
297,http://www.wikidata.org/entity/Q59626734,Krishnan Namboodiri
298,http://www.wikidata.org/entity/Q1446797,Abraham Verghese
299,http://www.wikidata.org/entity/Q5230861,David Arnold
300,http://www.wikidata.org/entity/Q93237757,Khaled Anatolios
301,http://www.wikidata.org/entity/Q6893597,Mohan Singh
302,http://www.wikidata.org/entity/Q107236696,Udita Singh
303,http://www.wikidata.org/entity/Q7913059,Vamsi Mootha
304,http://www.wikidata.org/entity/Q101444547,Augustine Ralla Ram
305,http://www.wikidata.org/entity/Q102147046,Ganapati P. Patil
306,http://www.wikidata.org/entity/Q102205116,Jagdish Rustagi
307,http://www.wikidata.org/entity/Q115561510,Neha Mishra
308,http://www.wikidata.org/entity/Q15455923,M. S. Krishnan
309,http://www.wikidata.org/entity/Q97657298,Ali Hussein Salafi
310,http://www.wikidata.org/entity/Q98072365,Akhil Ranjan Dutta
311,http://www.wikidata.org/entity/Q89162928,Somnath Datta
312,http://www.wikidata.org/entity/Q110075549,Abdur Rahim Bastavi
313,http://www.wikidata.org/entity/Q110681957,Parthasarathi Mukhopadhyay
314,http://www.wikidata.org/entity/Q20026803,Trilochan Sastry
315,http://www.wikidata.org/entity/Q101088770,Joseph Arul
316,http://www.wikidata.org/entity/Q102111926,Hira L. Koul
317,http://www.wikidata.org/entity/Q102130362,Bimal Kumar Sinha
318,http://www.wikidata.org/entity/Q102246062,Narayan C. Giri
319,http://www.wikidata.org/entity/Q114343462,Jameel Ahmad Sikrodavi
320,http://www.wikidata.org/entity/Q107503028,Kesavan Raghavan Nair
321,http://www.wikidata.org/entity/Q97672607,Surjendu Bikash Kar Mahapatra
322,http://www.wikidata.org/entity/Q97690477,Sushil Chaudhury
323,http://www.wikidata.org/entity/Q109326177,Thomas Rodney Hope Davenport
324,http://www.wikidata.org/entity/Q7289394,Ramesh Chandra Majumdar
325,http://www.wikidata.org/entity/Q4699812,Ajit Varki
326,http://www.wikidata.org/entity/Q105446577,Chandra Bhan Singh
327,http://www.wikidata.org/entity/Q105748570,Kilambi Ramavataram
328,http://www.wikidata.org/entity/Q106734360,Rajendra Kapila
329,http://www.wikidata.org/entity/Q4700737,Akhil Gupta
330,http://www.wikidata.org/entity/Q27838006,Amitabh Joshi
331,http://www.wikidata.org/entity/Q114728205,Satyabrata Nandi
332,http://www.wikidata.org/entity/Q317769,Gulzarilal Nanda
333,http://www.wikidata.org/entity/Q967584,Sarvadaman Chowla
334,http://www.wikidata.org/entity/Q1294713,Abhay Ashtekar
335,http://www.wikidata.org/entity/Q1411390,Jainendra K. Jain
336,http://www.wikidata.org/entity/Q1743716,K. S. Lal
337,http://www.wikidata.org/entity/Q2125037,Rabindra Mohapatra
338,http://www.wikidata.org/entity/Q2497083,Narendra Jadhav
339,http://www.wikidata.org/entity/Q4746997,Amiya Kumar Bagchi
340,http://www.wikidata.org/entity/Q6713037,Manchanahalli Rangaswamy Satyanarayana Rao
341,http://www.wikidata.org/entity/Q6808998,Megh R. Goyal
342,http://www.wikidata.org/entity/Q7237405,Pradeep Khosla
343,http://www.wikidata.org/entity/Q7282498,M. A. R. Habib
344,http://www.wikidata.org/entity/Q7633785,Sudhindranath Dutta
345,http://www.wikidata.org/entity/Q7918205,Veeravalli S. Varadarajan
346,http://www.wikidata.org/entity/Q7935929,Vishal Mangalwadi
347,http://www.wikidata.org/entity/Q20607701,Harjeet Singh Gill
348,http://www.wikidata.org/entity/Q92820,Raj Reddy
349,http://www.wikidata.org/entity/Q176588,Akshay Venkatesh
350,http://www.wikidata.org/entity/Q370247,Sathamangalam Ranga Iyengar Srinivasa Varadhan
351,http://www.wikidata.org/entity/Q462446,C. Kumar N. Patel
352,http://www.wikidata.org/entity/Q560990,Varkey Vithayathil
353,http://www.wikidata.org/entity/Q561478,Prasanta Chandra Mahalanobis
354,http://www.wikidata.org/entity/Q737968,Raj Chandra Bose
355,http://www.wikidata.org/entity/Q10965844,K. G. Ramanathan
356,http://www.wikidata.org/entity/Q21715447,Vinod Subramaniam
357,http://www.wikidata.org/entity/Q1441631,Francis Braganza
358,http://www.wikidata.org/entity/Q1528049,P. Chandrasekhara Rao
359,http://www.wikidata.org/entity/Q2280213,Shree K. Nayar
360,http://www.wikidata.org/entity/Q2879518,Nayan Chanda
361,http://www.wikidata.org/entity/Q3154342,Irfan Habib
362,http://www.wikidata.org/entity/Q13847617,Akhtarul Wasey
363,http://www.wikidata.org/entity/Q3615431,Andre Béteille
364,http://www.wikidata.org/entity/Q3633158,Akhlaqur Rahman Kidwai
365,http://www.wikidata.org/entity/Q4665524,Abdul Majid Daryabadi
366,http://www.wikidata.org/entity/Q15432965,Hetukar Jha
367,http://www.wikidata.org/entity/Q15545673,Arikapalli Giridhar Rao
368,http://www.wikidata.org/entity/Q5436117,Farokh Master
369,http://www.wikidata.org/entity/Q15967113,Rajendra Bhatia
370,http://www.wikidata.org/entity/Q16105118,Inder Bir Singh Passi
371,http://www.wikidata.org/entity/Q17565430,Ramhari Das
372,http://www.wikidata.org/entity/Q7238184,Prakash Loungani
373,http://www.wikidata.org/entity/Q7238265,Pramod Khargonekar
374,http://www.wikidata.org/entity/Q7238489,Prasenjit Duara
375,http://www.wikidata.org/entity/Q7286607,Rakesh Khurana
376,http://www.wikidata.org/entity/Q7504182,Shriram Krishnamurthi
377,http://www.wikidata.org/entity/Q18707512,Vasant Gowarikar
378,http://www.wikidata.org/entity/Q29439523,Prahlad Pradhan
379,http://www.wikidata.org/entity/Q30000530,Udayanath Sahu
380,http://www.wikidata.org/entity/Q35180773,Manindra Kumar Meher
381,http://www.wikidata.org/entity/Q27899209,Samaresh Mitra
382,http://www.wikidata.org/entity/Q27924806,Vadapalli Chandrasekhar
383,http://www.wikidata.org/entity/Q17352730,Bidyut Chakrabarty
384,http://www.wikidata.org/entity/Q19561335,T.M.P. Mahadevan
385,http://www.wikidata.org/entity/Q22670785,Samares Kar
386,http://www.wikidata.org/entity/Q38996236,Kishore Panigrahi
387,http://www.wikidata.org/entity/Q99528675,Purushottam Joshi
388,http://www.wikidata.org/entity/Q29017279,Rafi Ahmed
389,http://www.wikidata.org/entity/Q60608994,Rabi Narayan Moharana
390,http://www.wikidata.org/entity/Q41889312,Debabrata Maiti
391,http://www.wikidata.org/entity/Q42300013,Francis Xavier D'Sa
392,http://www.wikidata.org/entity/Q58655935,Pawan S. Budhwar
393,http://www.wikidata.org/entity/Q59752636,Muni S. Srivastava
394,http://www.wikidata.org/entity/Q72546520,Radheshyam Brahmachari
395,http://www.wikidata.org/entity/Q88234573,Vishal Jain
396,http://www.wikidata.org/entity/Q95625118,Anuj Srivastava
397,http://www.wikidata.org/entity/Q108405721,Biman Behari Majumdar
398,http://www.wikidata.org/entity/Q98285609,Yogendra Srivastava
399,http://www.wikidata.org/entity/Q99435848,G. Jogesh Babu
400,http://www.wikidata.org/entity/Q2127242,Raghubir Singh
401,http://www.wikidata.org/entity/Q102207922,M. B. Rao
402,http://www.wikidata.org/entity/Q102434787,K. Lakshmanasamy
403,http://www.wikidata.org/entity/Q5247806,Debabrata Basu
404,http://www.wikidata.org/entity/Q110857077,Kangzangding Thou
405,http://www.wikidata.org/entity/Q110982501,Nematullah Azami
406,http://www.wikidata.org/entity/Q111516500,Arun Kumar Choudhury
407,http://www.wikidata.org/entity/Q113016832,Murli H. Manghnani
408,http://www.wikidata.org/entity/Q5939753,Humayun Kabir
409,http://www.wikidata.org/entity/Q14495322,Vasudevan Srinivas
